yp,Aaloo Parantha Combo,Agua Embotellada,Alto,Arroz Basmati,Bajo,Butter Chicken,Butter Naan,Cerveza,Chai,Chana Masala,Chana Masala Combo,Chicken Biryani - Chef´s Special,Chicken Curry,Chicken Curry Combo,Chicken Malai Tikka - Chef´s Special,Chicken Tikka,Chicken Tikka Masala,Coca Cola,Coca Cola Sin Azucar,Con ajo,Con mantequilla,Con queso,Costo Delivery,Dal Makhani,Dal Makhani Combo,Ensalada de Cebolla,Fresca,Gulab Jamun(2 pzas),Jeera Rice,Kadhai Chicken,Kadhai Paneer,Lachha Paratha,Malai Mushroom Tikka,Malai Paneer Tikka,Mango Lassi,Mango Shake,Masala Lassi,Masala Shikanji Mineral,Masala Shikanji Natural,Masala Shikhanji,Medio,Mineral,Mixto de vegetales,Mutton Biryani,Mutton Rogan Josh,Mutton Seekh Kebab,Muy picante,Naan,Natural,Normal,Pakoda,Paneer ( Un queso de la India),Paneer Butter Masala,Paneer Makhani,Paneer Makhani Combo,Paneer Tikka,Pollo,Raita,Samosa,Sharbat,Sidral Mundet,Sin mantequilla,Sprite,Tandoori Roti.,Vegetable Biryani
Aaloo Parantha Combo,1,0,0,0.001019368,0,0.000963391,0,0,0,0,0,0,0.003278689,0,0,0,0,0.006756757,0.01010101,0.001068376,0.001579779,0.003831418,0,0,0,0,0,0,0,0,0.002890173,0,0,0,0.00245098,0,0,0,0,0,0.001323627,0,0,0,0.003584229,0,0,0.000493827,0,0,0,0,0,0,0,0,0,0.007042254,0,0,0,0,0,0.002358491,0
Agua Embotellada,0,1,0.016877637,0.033639144,0.013473054,0.023121387,0,0.121212121,0.086956522,0.028938907,0.02027027,0.014742015,0.02295082,0.008908686,0.043209877,0.036144578,0.025145068,0.108108108,0.101010101,0.038461538,0.030015798,0.026819923,0,0.05904059,0.023529412,0.090909091,0.0625,0.031088083,0.045226131,0.059210526,0.037572254,0.052941176,0.084745763,0.114285714,0.044117647,0.022222222,0.028571429,0.011299435,0.008928571,0.040697674,0.027134348,0.046357616,0.030769231,0.031446541,0.0609319,0.044642857,0.023529412,0.025185185,0,0.04526749,0.042780749,0.054054054,1,0.056497175,0.015503876,0.066666667,0.086956522,0.035211268,0.020746888,0.025404157,0,0.034653465,0.048780488,0.035377358,0.032258065
Alto,0,0.109589041,1,0.095820591,0.020958084,0.070327553,0,0.101010101,0.086956522,0.15755627,0.155405405,0.243243243,0.147540984,0.184855234,0.104938272,0.124497992,0.16827853,0.101351351,0.111111111,0.116452991,0.129541864,0.076628352,0,0.110701107,0.035294118,0.272727273,0.1875,0.103626943,0.145728643,0.184210526,0.242774566,0.129411765,0.203389831,0.171428571,0.098039216,0.133333333,0.123809524,0.18079096,0.133928571,0.058139535,0.046326936,0.052980132,0.115384615,0.27672956,0.215053763,0.098214286,0.388235294,0.124938272,0.068965517,0.04526749,0.139037433,0.162162162,0,0.033898305,0.023255814,0.177777778,0.260869565,0.077464789,0.122406639,0.101616628,0.066666667,0.143564356,0.195121951,0.132075472,0.188940092
Arroz Basmati,0.5,0.452054795,0.198312236,1,0.293413174,0.489402697,0.5,0.424242424,0.286956522,0.405144695,0.054054054,0.100737101,0.478688525,0.048997773,0.216049383,0.313253012,0.410058027,0.371621622,0.424242424,0.354700855,0.263033175,0.402298851,0.25,0.273062731,0.011764706,0.363636364,0.5,0.274611399,0.120603015,0.276315789,0.277456647,0.229411765,0.237288136,0.171428571,0.362745098,0.277777778,0.333333333,0.053672316,0.044642857,0.360465116,0.248841827,0.357615894,0.292307692,0.088050314,0.433691756,0.321428571,0.329411765,0.339753086,0.344827586,0.283950617,0.299465241,0.324324324,0,0.361581921,0.085271318,0.222222222,0.260869565,0.330985915,0.377593361,0.173210162,0.466666667,0.304455446,0.463414634,0.193396226,0.078341014
Bajo,0,0.123287671,0.029535865,0.199796126,1,0.149325626,0,0.090909091,0.07826087,0.292604502,0.27027027,0.248157248,0.357377049,0.307349666,0.117283951,0.128514056,0.276595745,0.175675676,0.131313131,0.168803419,0.196682464,0.191570881,0,0.125461255,0.047058824,0.181818182,0,0.21761658,0.185929648,0.210526316,0.213872832,0.15,0.203389831,0.142857143,0.18872549,0.144444444,0.142857143,0.217514124,0.25,0.122093023,0.049636003,0.119205298,0.115384615,0.226415094,0.186379928,0.151785714,0.023529412,0.197530864,0.137931034,0.152263374,0.14973262,0.162162162,0,0.141242938,0.062015504,0.088888889,0.304347826,0.204225352,0.184647303,0.233256351,0.066666667,0.252475248,0.195121951,0.198113208,0.230414747
Butter Chicken,0.5,0.328767123,0.154008439,0.51783894,0.232035928,1,0.5,0.404040404,0.217391304,0.241157556,0.087837838,0.245700246,0.206557377,0.086859688,0.265432099,0.281124498,0.228239845,0.378378378,0.383838384,0.392094017,0.33807267,0.490421456,0,0.269372694,0.164705882,0.090909091,0.375,0.347150259,0.296482412,0.138157895,0.167630058,0.273529412,0.271186441,0.142857143,0.399509804,0.277777778,0.323809524,0.104519774,0.098214286,0.36627907,0.181998676,0.370860927,0.253846154,0.188679245,0.243727599,0.294642857,0.164705882,0.391111111,0.344827586,0.300411523,0.272727273,0.243243243,1,0.248587571,0.093023256,0.244444444,0.391304348,0.295774648,0.34439834,0.189376443,0.466666667,0.292079208,0.365853659,0.242924528,0.202764977
Butter Naan,0,0,0,0.001019368,0,0.000963391,1,0,0,0,0,0,0,0,0.00617284,0,0.001934236,0.006756757,0,0,0,0,0,0.003690037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000661813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002074689,0,0,0,0,0,0
Cerveza,0,0.164383562,0.021097046,0.042813456,0.013473054,0.038535645,0,1,0.069565217,0.048231511,0.033783784,0.036855037,0.039344262,0.024498886,0.098765432,0.080321285,0.056092843,0.074324324,0.111111111,0.061965812,0.039494471,0.053639847,0,0.070110701,0.023529412,0.03030303,0.1875,0.07253886,0.065326633,0.046052632,0.043352601,0.064705882,0.152542373,0.085714286,0.078431373,0.055555556,0.047619048,0.016949153,0,0.104651163,0.052283256,0.112582781,0.069230769,0.062893082,0.082437276,0.080357143,0.047058824,0.039506173,0.103448276,0.098765432,0.085561497,0.081081081,0,0.028248588,0.015503876,0.122222222,0.173913043,0.028169014,0.058091286,0.050808314,0.133333333,0.017326733,0.12195122,0.030660377,0.064516129
Chai,0,0.136986301,0.021097046,0.033639144,0.013473054,0.024084778,0,0.080808081,1,0.061093248,0.040540541,0.044226044,0.059016393,0.0155902,0.049382716,0.048192771,0.040618956,0.054054054,0.070707071,0.042735043,0.038704581,0.042145594,0,0.066420664,0.011764706,0,0,0.119170984,0.075376884,0.065789474,0.028901734,0.064705882,0.084745763,0.142857143,0.058823529,0.088888889,0.20952381,0.011299435,0.026785714,0.151162791,0.051621443,0.165562914,0.107692308,0.062893082,0.068100358,0.0625,0.070588235,0.03308642,0.034482759,0.041152263,0.096256684,0.081081081,0,0.079096045,0.031007752,0.066666667,0.043478261,0.056338028,0.041493776,0.060046189,0.066666667,0.034653465,0.12195122,0.044811321,0.02764977
Chana Masala,0,0.123287671,0.103375527,0.128440367,0.136227545,0.072254335,0,0.151515152,0.165217391,1,0.02027027,0.054054054,0.078688525,0.022271715,0.067901235,0.076305221,0.071566731,0.074324324,0.161616162,0.115384615,0.098736177,0.08045977,0.25,0.180811808,0.011764706,0.151515152,0.1875,0.098445596,0.165829146,0.125,0.101156069,0.111764706,0.169491525,0.114285714,0.107843137,0.066666667,0.2,0.011299435,0.026785714,0.162790698,0.139642621,0.152317881,0.107692308,0.06918239,0.075268817,0.098214286,0.082352941,0.103703704,0.172413793,0.102880658,0.101604278,0.135135135,0,0.11299435,0.031007752,0.144444444,0,0.204225352,0.132780083,0.055427252,0,0.143564356,0.073170732,0.134433962,0.138248848
